"year","month","x_hk","container_hk","transit_pa_canal","transit_suez_canal","air_freight_mem","container_exports_la","container_total_la","x_servs_world","tourists_neasia","tourists_seasia","tourists_world","x_servs_in"
2006,3,193465,2052,1221,NA,703414523,325548.75,670949.8,650597.859960348,NA,NA,NA,NA
2006,4,188784,2002,1144,NA,658096634,303223,673393.6,NA,NA,NA,NA,NA
2006,5,193247,2159,1122,NA,666290822,327089.75,695953.3,NA,NA,NA,NA,NA
2006,6,202177,1732,1066,NA,691591467,338914.65,726871.5,715071.224162674,NA,NA,NA,NA
2006,7,219571,2119,1067,NA,640954040,347969.1,761326.35,NA,NA,NA,NA,NA
2006,8,226244,1984,1067,NA,722876467,376722.25,790726.55,NA,NA,NA,NA,NA
2006,9,220090,1979,1009,NA,691996499,360321.75,791604.65,779329.485548362,NA,NA,NA,NA
2006,10,230386,2028,1091,NA,695837456,378370.15,800063.85,NA,NA,NA,NA,NA
2006,11,228876,2018,1121.5,NA,696941324,355404.6,745613.1,NA,NA,NA,NA,NA
2006,12,214686,2141,1152,NA,711732577,346669.25,712260,775033.704154236,NA,NA,NA,NA
2007,1,207414,1982,1200,67381,670749623,324506.35,691602,NA,7,7.7,4.8,NA
2007,2,171389,1583,1096,63366,652813321,290642.25,649243,NA,9.5,10.4,6.9,NA
2007,3,206836,1827,1244,66773,744893265,306467.05,629939.15,771505.569469713,12.4,10.4,8.8,NA
2007,4,212605,2015,1142,66815,649761313,304145.75,679657.25,NA,7.8,11.1,3.8,NA
2007,5,216591,2067,1157,70955,726177221,312670.25,681544.55,NA,11.4,15.5,5.9,NA
2007,6,224672,2030,1033,67448,733871480,322983.65,716170.75,838654.120288977,10.2,15.5,4.4,NA
2007,7,238526,2094,1081,74392,684711693,328746.15,716319.4,NA,10.8,11.4,6,NA
2007,8,243152,2021,1085,72710,756646800,335683.1,714710.2,NA,10.8,8.8,7.7,NA
2007,9,238691,2109,1021,73041,701223948,334648.75,742563.5,931820.34700082,12.9,14,5.9,NA
2007,10,253018,2060,1102,75239,734262577,341598.3,735546.25,NA,9.4,11.3,6.3,NA
2007,11,244005,2078,1043,72647,706280597,353099.4,736340.15,NA,12.6,8.9,6.1,NA
2007,12,232256,2132,1124,77396,698159086,315261.85,661402.3,946849.522790729,12,9.2,5.7,NA
2008,1,240096,2110,1171,73778,699183558,305094.25,652236.2,NA,11,7.7,5.9,NA
2008,2,184390,1644,1069,72878,670604530,290747.15,613725.7,NA,9.3,11.3,9.5,NA
2008,3,222532,2003,1213,72600,686771459,282634.7,583923,927952.517714589,9.9,5.8,9.4,NA
2008,4,243401,2099,1174,73096,693912152,273625.7,605466.35,NA,2.9,5.2,-0.4,NA
2008,5,238942,2038,1162,76682,686272556,310060.85,686847.8,NA,3.9,8.7,8.1,NA
2008,6,223223,2122,1048,76312,638655349,285488.55,632280.1,1009625.17963898,-0.2,4.4,1.8,NA
2008,7,265104,2258,1106,79359,672559758,321213.45,698159.3,NA,-0.3,8.3,0.6,NA
2008,8,247873,2168,1079,84065,686869185,348832.55,757068.85,NA,-7.1,-0.2,-0.7,NA
2008,9,247209,2258,1004,79603,654594113,319538.65,692889.9,1055466.3130881,-5.2,-4.5,-2.8,NA
2008,10,276913,2124,1083,81152,720244757,329035.3,706308.25,NA,-3.5,1.2,-0.8,NA
2008,11,231153,1882,1026,73599,638680569,314281.65,660046.5,NA,-6,-4.3,-3,NA
2008,12,205816,1787,1124,66935,693703385,258273.05,561033.25,920705.637514201,-5.6,0,-2.3,NA
2009,1,187768,1612,1146,57217,659514240,266625.1,587004.2,NA,-4.7,-3.9,-7.7,NA
2009,2,141938,1345,1059,53086,610087720,205731.8,413910.3,NA,-9.7,-12.3,-10.2,NA
2009,3,175472,1672,1201,57248,659530699,244793.9,526487.05,785252.852711769,-8.2,-3.4,-12.8,NA
2009,4,199043,1725,1115,60722,659770869,250449.9,532124.15,NA,-0.2,-2.1,-1.6,NA
2009,5,204375,1767,1050,58883,655481699,268663.05,574827.8,NA,-11.6,-8.6,-10.7,NA
2009,6,211136,1729,1050,59533,648004095,267696.9,551679.7,840891.922925784,-10.7,-2.9,-7.6,NA
2009,7,212279,1875,1052,64857,681107990,268295.5,576203.25,NA,-6.9,-3.6,-3.2,NA
2009,8,213301,1900,1072,62573,664008386,285675.75,612581.5,NA,5.8,1.4,-2.5,NA
2009,9,225898,1849,990,64392,701377120,270270.05,583557,932225.904671324,-0.7,14.5,-1,NA
2009,10,240755,1848,1108,66811,756625984,305011.1,647423.7,NA,1.6,6.6,1.4,NA
2009,11,234095,1821,1077,61611,669807189,276711.4,580206.15,NA,3.6,13.8,2.1,NA
2009,12,224822,1898,1094,67520,781482762,273978.9,562989.75,943387.208184888,1.6,11.6,2,NA
2010,1,222279,1990,1113,66440,698415372,270276.25,572969.15,NA,8.5,11.9,5.5,NA
2010,2,182455,1533,1010,58736,661378907,250518.8,525458.6,NA,12,24.1,7.3,NA
2010,3,231755,1909,1141,67528,738819840,268501,550249.8,875311.40176371,13.7,13.4,8.9,NA
2010,4,242231,1952,1046,65744,713324755,283940.65,595283.7,NA,11.1,7.5,1.8,NA
2010,5,254234,1968,1069,71089,719581748,337683.35,689420.7,NA,26.1,7.7,10.7,NA
2010,6,267561,2057,971,70233,710284137,351350.8,730317.85,915467.801650563,28.1,10.6,9.3,NA
2010,7,261798,2071,1032,71868,738375634,354944.7,730745.6,NA,20.2,16.4,7,NA
2010,8,290121,2096,1021,78314,713471909,357145.8,763837.2,NA,12.1,9.8,5,NA
2010,9,280230,2057,1004,72810,718567323,331828.55,711613,1000639.8108896,14.7,11.7,8.5,NA
2010,10,274169,1912,1127,74601,748325652,324143.85,682384.5,NA,9.8,12.9,7.8,NA
2010,11,273043,2091,1114,72463,685749457,322646.05,666970.5,NA,8.2,9,5.6,NA
2010,12,253003,2062,1085,76563,789581031,299791,612651.7,1026935.47845971,5.7,7.7,3.3,NA
2011,1,283683,2097,1174,75501,668198381,305398.55,660517.8,NA,2,10.4,5.9,NA
2011,2,227842,1529,1110,69088,665856867,265749.75,554912.8,NA,4.6,9.3,2.2,NA
2011,3,281487,1840,1223,73268,772377895,287993.15,600796,983387.259487485,-3.2,7.7,2.8,NA
2011,4,252042,2206,1141,76414,720285518,290426.15,617272.5,NA,0,14.6,9,11469
2011,5,279944,2119,1107,77430,680935785,317805.9,692933.7,NA,-2.5,16.5,1.8,11835
2011,6,292216,2067,979,78511,725063058,291371.3,640794.6,1079818.12429523,2.4,15.6,7.7,11040
2011,7,286152,2228,1026,78830,697763655,313026,688325.55,NA,4.5,11.3,4,11400
2011,8,309888,2143,971,83072,722659082,332293.05,723170.55,NA,3.7,15,3.2,11897
2011,9,271799,1993,987,77459,714662789,322188.95,705623.85,1152548.63534265,5.2,8.5,5.3,11228
2011,10,305685,2098,1097,80421,737399852,332148.35,712586.2,NA,5.2,6.6,3.1,11455
2011,11,278563,1955,1056,78081,736056355,325770.25,694108.7,NA,8.9,4.1,1.9,11279
2011,12,271783,2109,1164,80805,793660471,316034.45,649468.7,1099204.20455611,8,9.3,3.6,11181
2012,1,259300.025,2000,1195,81511,686976502,332891,698715.1,NA,6.7,9.2,5.5,11027
2012,2,259749.851,1639,1072,70035,701201101,262194.65,525653.45,NA,5.3,9.9,5.9,11226
2012,3,262425.471,2057,1066,76671,787598999,311710.25,650452.25,1041525.78089406,10.8,10.3,6.6,12891
2012,4,266252.823,1976,1054,76751,690889219,333146.5,707182.2,NA,9.2,8.3,3.9,10484
2012,5,294505.514,2056,1034,78246,753208260,351778.4,731352.9,NA,7.1,6.6,5.1,12052
2012,6,278227.648,1886,1013,76665,747031823,333244.5,696847.95,1092836.20233008,7.2,7.6,2.7,10843
2012,7,276207.751,2008,1054,78344,698686939,345454.75,726375.25,NA,3.8,4.6,1.5,11065
2012,8,311657.264,1974,1036,82204,762736046,335078.8,706669.8,NA,7.1,6.2,4,11402
2012,9,313160.567,1907,1028,78556,728151610,350977.05,744923.15,1145075.44692841,4.6,5.8,2.7,11939
2012,10,297027.41,1852,1071,78329,761995377,344021.05,718406.35,NA,2,8.8,2.4,12348
2012,11,307767.14,1900,1031,74149,763669240,284221.5,582981.7,NA,2.8,20.2,5,12029
2012,12,310963.632,1862,1063,76991,771782285,283182.5,588154.2,1152831.3203353,2.2,10.9,3.7,12881
2013,1,304818.3,2056,1053,73023,770221203,319858.75,669000.3,NA,1.9,9.5,3.9,13899
2013,2,215741.639,1382,964,67635,694288801,289453.5,614958.75,NA,1.7,13.5,7.4,12287
2013,3,291710.91,1830,1039,75297,776751232,260620.5,503168,1092834.7058857,7.1,15.4,9.9,12253
2013,4,290266.519,1778,984,75289,720698949,305297.25,640330.2,NA,-1.4,7.9,1.2,12842
2013,5,291541.688,1866,983,79695,761214761,298720.25,636851.6,NA,2,12.1,7.3,12799
2013,6,277636.8,1824,904,72368,753757994,308014,646650.5,1161633.52437572,4.5,11.1,5.8,12348
2013,7,305413.387,1947,961,76924,740467053,332857.25,715640.25,NA,2.7,9,2.6,12941
2013,8,307489.628,1933,990,80798,794770518,340978,709675.75,NA,4.4,11.3,6.5,12310
2013,9,317830.345,1927,997,77599,722620424,328218.5,710892.25,1231467.42813543,6.3,16.1,5.1,12290
2013,10,323143.663,1849,989,81818,819650794,321755,684207.1,NA,5.1,5.7,4,12563
2013,11,325522.279,1899,1034,77813,770548899,331856.75,683849,NA,3.8,5.2,3.5,12317
2013,12,310876.625,2061,1107,77209,791520867,320237,653358.35,1238931.05256098,4.4,3.1,3.7,12869
2014,1,303456.399,1943,1058,76663,800385129,313816.5,685549.85,NA,7.1,9.9,6.6,13927
2014,2,212913.585,1485,959,69462,727113277,263249.25,559786.35,NA,6.7,3.3,4.2,13155
2014,3,301523.465,1884,1071,76412,799822883,332388.25,675274.1,1170314.08898618,2.2,1,0.8,14319
2014,4,285682.235,1926,977,77155,788027397,327992.75,706036.8,NA,10.6,5.1,9.5,13632
2014,5,305972.528,1989,978,81980,787813110,321131.5,689141.65,NA,10,2.8,4.1,13920
2014,6,309210.61,1972,888,77390,744353441,340346,736438.8,1269075.4768303,5.3,-4.7,4.4,12972
2014,7,326160.344,1934,950,82609,783006733,337214.75,717407,NA,7.9,-1.5,4,13344
2014,8,327225.494,1924,933,89145,783921063,354699.25,757702.45,NA,5.2,-1.4,5.1,12242
2014,9,331985.848,1794,1012,83754,755390428,350911.5,775132.7,1317006.98983266,6.2,0.6,3.9,12940
2014,10,331726.546,1826,1063,85842,837932617,334124.25,715682.9,NA,8.8,5.3,5.8,12146
2014,11,326783.214,1777,1016,80962,767742073,320109,663345.6,NA,8.8,1.7,4.1,12473
2014,12,312754.672,1772,1069,81374,800631560,314168.5,658567.45,1268838.96441054,9.4,6.7,4.6,14303
2015,1,311871.413,1821,1041,82537,801726690,261483.5,529427.2,NA,5.2,4.4,4.3,14250
2015,2,228336.549,1444,978,73020,742601432,242707.25,502663.3,NA,6.6,5.1,5.1,14099
2015,3,296112.698,1656,1083,82528,784094800,352654.25,791863.6,1135947.76448637,2,2.7,3.9,14049
2015,4,291943.762,1739,1049,81586,800014200,323379.5,662973.25,NA,7.1,3,2.6,13012
2015,5,291829.831,1808,1045,85842,784559461,335105.75,694791.05,NA,7.6,6.9,6.3,11874
2015,6,299518.487,1765,990,82843,764394096,344022,721802.6,1184496.26347016,-1.1,5.5,2,12765
2015,7,320870.923,1841,1026,85514,802865037,337126,699127.95,NA,-2.7,10.1,6.5,13386
2015,8,307253.112,1706,1042,89053,773161988,369349,786667.8,NA,2.1,9,3,13580
2015,9,316732.206,1634,981,86620,798683573,346343.5,730306.9,1232126.59797511,5.8,4.8,4.4,13321
2015,10,319591.781,1482,1047,85073,842835961,332173.25,704588.9,NA,8,1.7,4.8,13344
2015,11,315303.917,1600,1026,80291,760852913,341254.15,709968.7,NA,6.6,5.6,3.8,12019
2015,12,309178.515,1577,1029,83746,802292580,295229.75,626276.65,1212969.4690719,4.5,7.4,3.2,14038
2016,1,299871.547,1673,1052,80613,781588845,329182.75,704398.45,NA,8.5,9.4,4.7,12573
2016,2,204484.286,1140,977,77716,742301912,330352.75,713721,NA,7.6,12.3,7.4,12329
2016,3,275360.412,1511,1037,80496,861746023,316013.5,612863.2,1128944.99069367,9.5,10.2,7.7,12895
2016,4,285274.161,1581,949,75887,817424600,301973.5,656177.05,NA,6.3,7.8,1.5,12908
2016,5,291500.074,1631,926,82060,766137096,358700.25,770409.3,NA,5.1,7.3,1.5,13460
2016,6,296519.074,1659,843,80030,806464628,310829.75,676006.9,1204479.53926081,15.1,9.1,2.4,13322
2016,7,304465.488,1628,946,84740,763486025,308438.2,687891.8,NA,16.7,11.4,3.8,12775
2016,8,309670.118,1792,908,87844,790075291,375742.5,798932.75,NA,6.9,9.4,1.3,13381
2016,9,328019.296,1712,945,81732,791908818,347729.15,747707.4,1270686.92443666,7.8,8.4,3.9,13773
2016,10,313726.169,1687,973,81960,785311527,386377.65,814574.5,NA,6,6.6,3.6,13113
2016,11,340934.649,1814,969,77836,779598211,429252.85,877564.2,NA,5.9,4.2,5.6,13338
2016,12,340339.917,1983,1043,83271,823865275,391655.6,796536.25,1242557.20053163,8.7,4.1,7.3,13804
2017,1,296298.943,1661,1111,78673,758941117,398242.25,826639.55,NA,9.3,7.6,7.1,13570
2017,2,241707.102,1487,983,75303,730561950,316799.4,625381.15,NA,2.7,3.3,3.5,13060
2017,3,321895.414,1730,1071,84679,864469596,402886.75,788523.7,1183306.43959066,3.5,5.7,2.2,14179
2017,4,305388.691,1799,1016,86170,775483250,333238.4,714755.05,NA,4.1,10.5,14.9,12904
2017,5,303105.085,1824,990,88265,776313403,371714.75,796216.7,NA,2,6.8,4.5,13430
2017,6,329406.305,1750,889,84634,807353714,348248.75,731032.35,1283137.60769386,0.6,11.4,8.6,13388
2017,7,326589.104,1782,1017,87969,741951893,369126.05,796804,NA,0.2,7,6.7,13178
2017,8,332663.325,1718,974,91549,827262050,404818.25,847857.05,NA,0.9,9.5,7.4,13701
2017,9,358705.327,1806,964,87926,787070546,365418.25,763784.5,1404463.6373948,1.5,8.9,8.4,13732
2017,10,334735.323,1676,1055,93158,824173591,350803.5,748762.2,NA,3.6,8.6,6.3,14152
2017,11,367423.229,1757,994,90990,819374526,448437.5,924225.75,NA,6.5,12.6,8.5,15392
2017,12,360688.466,1780,1047,92260,828401231,381909.9,779210.95,1410523.59537765,4.7,8,5.2,16005
2018,1,350046.497,1846,1050,87760,784276788,376599.75,808728.5,NA,2.3,8.3,5.1,16337
2018,2,245744.056,1414,941,83486,753172224,332376.5,725059.45,NA,8.1,10.9,6.5,15709
2018,3,347731.536,1628,1088,88938,877319654,304023.65,577865.9,1388985.34350061,8,12.9,9,16834
2018,4,330223.558,1601,1014,92474,774741598,333009.65,705535.95,NA,6.3,6.4,2.2,17563
2018,5,351368.223,1696,1069,99171,843682812,351431.75,768804.35,NA,7,5.9,6.5,16173
2018,6,340334.425,1683,955,97157,828991712,329776,723141.15,1431611.07642974,8.1,9.6,5.8,16872
2018,7,359125.097,1666,998,99739,779102686,378886.25,833567.85,NA,4,5.4,3.9,17553
2018,8,376302.796,1616,1005,101241,862759944,385962,826638.4,NA,8.2,5.6,5.5,16526
2018,9,374961.188,1487,992,93952,822558814,369953.75,801264.15,1491403.50236092,1.8,6.2,5.1,16381
2018,10,383651.471,1646,1046,103009,875090466,448165.9,952553.75,NA,4.8,4.9,5.2,16815
2018,11,364319.824,1639,977,96068,832802027,392364.75,832330.9,NA,5.1,4.8,3.9,16677
2018,12,339937.825,1674,1014,96634,796523111,420904.9,903258.15,1483055.81945013,5,4.5,3.9,17927
2019,1,348701.405,1695,1072,96250,841248868,406719,852449.5,NA,8,3.6,3.9,17745
2019,2,228674.25,1162,962,88549,748734044,340756,705306.55,NA,7.6,5.9,4.1,16584
2019,3,343641.47,1567,1067,97796,849439049,339923.25,650977.15,1398566.00026664,7.2,3.6,2.2,17944
2019,4,321517.084,1574,1006,98341,789832572,358122.45,736465.95,NA,6.5,7.2,7.3,18062
2019,5,343064.991,1572,1032,104914,836120121,388348.75,828662.15,NA,8.3,6.1,3.2,18679
2019,6,309606.832,1527,975,98233,766520436,358953.25,764777.25,1464597.64935363,8,5.5,6.5,18552
2019,7,338617.637,1549,1001,103574,765035601,424549.25,912154.15,NA,5.5,7.8,3.5,19084
2019,8,352727.262,1584,1113,106000,802393709,411995,861080.8,NA,-5.9,8.8,3.1,18244
2019,9,347685.299,1484,1025,98974,727853980,365222,779902.75,1533730.5648262,-2.6,9.4,4.2,17536
2019,10,348527.561,1553,1137,108919,831758191,367763,770188.5,NA,-5.7,12.4,3.2,17698
2019,11,359269.926,1511,1136,101668,782372297,348480.25,728917.9,NA,-8.4,12.7,2.9,17996
2019,12,351275.684,1524,1143,103867,770542266,362955.5,746749.75,1525026.18457032,-7.7,11.3,2.3,20004
2020,1,269395.546,1425,1134,105737,752019735,380382.25,806143.75,NA,-19.4,6.9,0.7,18985
2020,2,238557.596,1160,1021,99902,730438819,265302.25,544037.3,NA,-80.2,-35.9,-16.3,17725
2020,3,323646.757,1515,NA,NA,790381118,217961,449568.3,1296601.90025966,-94.4,-72,-63.6,18163
2020,4,309462.445,1462,NA,NA,NA,314813,688999,NA,-99.3,-95.4,-97.1,16450
2020,5,317610.453,1515,894,NA,NA,275298.75,581664.75,NA,-98.9,-98.2,-96.6,16766
2020,6,305607.936,1533,845,NA,NA,322218.5,691475.4,1047833.46312542,-98.5,-98.5,-91.5,16995
2020,7,328465.761,1588,933,NA,NA,399192.45,856389.15,NA,-98.2,-98.2,-80.5,1703
2020,8,344483.831,1535,1000,NA,NA,444808,961832.75,NA,-97.8,-98.1,-78.6,16441
2020,9,NA,1541,949,NA,NA,406943.25,883624.8,NA,NA,NA,NA,NA
2020,10,NA,NA,1097,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
